year,round,round_code,best of,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score
1989,Last 16,L16,25,Tony Meo,ENG,u,13,Eddie Charlton,AUS,u,8
1989,Last 16,L16,25,John Parrott,ENG,7,13,Dennis Taylor,NIR,10,10
1989,Last 16,L16,25,Jimmy White,ENG,2,13,John Virgo,ENG,15,12
1989,Quarter-Finals,QF,25,Steve Davis,ENG,1,13,Mike Hallett,ENG,9,3
1989,Quarter-Finals,QF,25,Stephen Hendry,SCO,4,13,Terry Griffiths,WAL,5,5
1989,Quarter-Finals,QF,25,Tony Meo,ENG,u,13,Dean Reynolds,ENG,u,9
1989,Quarter-Finals,QF,25,John Parrott,ENG,7,13,Jimmy White,ENG,2,7
1989,Semi-Finals,SF,31,Steve Davis,ENG,1,16,Stephen Hendry,SCO,4,9
1989,Semi-Finals,SF,31,John Parrott,ENG,7,16,Tony Meo,ENG,u,7
1989,The Final,FIN,35,Steve Davis,ENG,1,18,John Parrott,ENG,7,3
1990,First Round,1R,19,Steve Davis,ENG,1,10,Eddie Charlton,AUS,u,1
1990,First Round,1R,19,Steve James,ENG,16,10,Alex Higgins,NIR,u,5
1990,First Round,1R,19,Willie Thorne,ENG,9,10,Tony Drago,MLT,u,4
1990,First Round,1R,19,Neal Foulds,ENG,u,10,Dennis Taylor,NIR,8,8
1990,First Round,1R,19,Terry Griffiths,WAL,5,10,Nigel Gilbert,ENG,u,4
1990,First Round,1R,19,Tony Knowles,ENG,12,10,Tony Chappel,WAL,u,4
1990,First Round,1R,19,John Virgo,ENG,13,10,Gary Wilkinson,ENG,u,6
1990,First Round,1R,19,Jimmy White,ENG,4,10,Danny Fowler,ENG,u,4
1990,First Round,1R,19,Stephen Hendry,SCO,3,10,Alain Robidoux,CAN,u,7
1990,First Round,1R,19,Tony Meo,ENG,14,10,Wayne Jones,WAL,u,8
1990,First Round,1R,19,Darren Morgan,WAL,u,10,Joe Johnson,ENG,11,8
1990,First Round,1R,19,Mike Hallett,ENG,6,10,Steve Newbury,WAL,u,9
1990,First Round,1R,19,Cliff Thorburn,CAN,7,10,Cliff Wilson,WAL,u,6
1990,First Round,1R,19,Doug Mountjoy,WAL,10,10,Brady Gollan,CAN,u,8
1990,First Round,1R,19,Dean Reynolds,ENG,15,10,Peter Francisco,RSA,u,7
1990,First Round,1R,19,John Parrott,ENG,2,10,Mark Bennett,WAL,u,9
1990,Last 16,L16,25,Steve Davis,ENG,1,13,Steve James,ENG,16,7
1990,Last 16,L16,25,Neal Foulds,ENG,u,13,Willie Thorne,ENG,9,11
1990,Last 16,L16,25,Terry Griffiths,WAL,5,13,Tony Knowles,ENG,12,6
1990,Last 16,L16,25,Jimmy White,ENG,4,13,John Virgo,ENG,13,6
1990,Last 16,L16,25,Stephen Hendry,SCO,3,13,Tony Meo,ENG,14,7
1990,Last 16,L16,25,Darren Morgan,WAL,u,13,Mike Hallett,ENG,6,8
1990,Last 16,L16,25,Cliff Thorburn,CAN,7,13,Doug Mountjoy,WAL,10,12
1990,Last 16,L16,25,John Parrott,ENG,2,13,Dean Reynolds,ENG,15,11
1990,Quarter-Finals,QF,25,Steve Davis,ENG,1,13,Neal Foulds,ENG,u,8
1990,Quarter-Finals,QF,25,Jimmy White,ENG,4,13,Terry Griffiths,WAL,5,5
1990,Quarter-Finals,QF,25,Stephen Hendry,SCO,3,13,Darren Morgan,WAL,u,6
1990,Quarter-Finals,QF,25,John Parrott,ENG,2,13,Cliff Thorburn,CAN,7,6
1990,Semi-Finals,SF,31,Jimmy White,ENG,4,16,Steve Davis,ENG,1,14
1990,Semi-Finals,SF,31,Stephen Hendry,SCO,3,16,John Parrott,ENG,2,11
1990,The Final,FIN,35,Stephen Hendry,SCO,3,18,Jimmy White,ENG,4,12
1991,First Round,1R,19,Stephen Hendry,SCO,1,10,Warren King,AUS,u,4
1991,First Round,1R,19,Alain Robidoux,CAN,16,10,Steve Newbury,WAL,u,5
1991,First Round,1R,19,Steve James,ENG,9,10,Ian Graham,ENG,u,3
1991,First Round,1R,19,Dean Reynolds,ENG,8,10,Robert Marshall,ENG,u,8
1991,First Round,1R,19,Gary Wilkinson,ENG,u,10,Doug Mountjoy,WAL,5,2
1991,First Round,1R,19,Martin Clark,ENG,12,10,Mark Bennett,WAL,u,6
1991,First Round,1R,19,Neal Foulds,ENG,13,10,Eddie Charlton,AUS,u,7
1991,First Round,1R,19,Jimmy White,ENG,4,10,Nick Dyson,ENG,u,3
1991,First Round,1R,19,John Parrott,ENG,3,10,Nigel Gilbert,ENG,u,6
1991,First Round,1R,19,Tony Knowles,ENG,u,10,John Virgo,ENG,14,8
1991,First Round,1R,19,Alan McManus,SCO,u,10,Willie Thorne,ENG,11,8
1991,First Round,1R,19,Terry Griffiths,WAL,6,10,Barry Pinches,ENG,u,3
1991,First Round,1R,19,Tony Jones,ENG,u,10,Mike Hallett,ENG,7,4
1991,First Round,1R,19,Dennis Taylor,NIR,10,10,Joe Johnson,ENG,u,6
1991,First Round,1R,19,Tony Meo,ENG,15,10,Craig Edwards,ENG,u,7
1991,First Round,1R,19,Steve Davis,ENG,2,10,Ken Doherty,IRL,u,8
1991,Last 16,L16,25,Stephen Hendry,SCO,1,13,Alain Robidoux,CAN,16,8
1991,Last 16,L16,25,Steve James,ENG,9,13,Dean Reynolds,ENG,8,12
1991,Last 16,L16,25,Gary Wilkinson,ENG,u,13,Martin Clark,ENG,12,9
1991,Last 16,L16,25,Jimmy White,ENG,4,13,Neal Foulds,ENG,13,12
1991,Last 16,L16,25,John Parrott,ENG,3,13,Tony Knowles,ENG,u,1
1991,Last 16,L16,25,Terry Griffiths,WAL,6,13,Alan McManus,SCO,u,12
