year,round,round_code,best of,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score
1991,Last 16,L16,25,Dennis Taylor,NIR,10,13,Tony Jones,ENG,u,8
1991,Last 16,L16,25,Steve Davis,ENG,2,13,Tony Meo,ENG,15,6
1991,Quarter-Finals,QF,25,Steve James,ENG,9,13,Stephen Hendry,SCO,1,11
1991,Quarter-Finals,QF,25,Jimmy White,ENG,4,13,Gary Wilkinson,ENG,u,3
1991,Quarter-Finals,QF,25,John Parrott,ENG,3,13,Terry Griffiths,WAL,6,10
1991,Quarter-Finals,QF,25,Steve Davis,ENG,2,13,Dennis Taylor,NIR,10,7
1991,Semi-Finals,SF,31,Jimmy White,ENG,4,16,Steve James,ENG,9,9
1991,Semi-Finals,SF,31,John Parrott,ENG,3,16,Steve Davis,ENG,2,10
1991,The Final,FIN,35,John Parrott,ENG,3,18,Jimmy White,ENG,4,11
1992,First Round,1R,19,John Parrott,ENG,1,10,Eddie Charlton,AUS,u,0
1992,First Round,1R,19,Tony Knowles,ENG,16,10,Mark Johnston-Allen,ENG,u,4
1992,First Round,1R,19,Mick Price,ENG,u,10,Dennis Taylor,NIR,9,6
1992,First Round,1R,19,Alan McManus,SCO,u,10,Mike Hallett,ENG,8,8
1992,First Round,1R,19,Willie Thorne,ENG,u,10,Gary Wilkinson,ENG,5,6
1992,First Round,1R,19,Jim Wych,CAN,u,10,Dean Reynolds,ENG,12,7
1992,First Round,1R,19,Alain Robidoux,CAN,13,10,Nigel Bond,ENG,u,7
1992,First Round,1R,19,Jimmy White,ENG,4,10,Tony Drago,MLT,u,4
1992,First Round,1R,19,Peter Ebdon,ENG,u,10,Steve Davis,ENG,3,4
1992,First Round,1R,19,Martin Clark,ENG,14,10,Peter Francisco,RSA,u,7
1992,First Round,1R,19,Terry Griffiths,WAL,11,10,Bob Chaperon,CAN,u,8
1992,First Round,1R,19,Neal Foulds,ENG,6,10,Jason Ferguson,ENG,u,8
1992,First Round,1R,19,Dene O'Kane,NZL,u,10,Steve James,ENG,7,9
1992,First Round,1R,19,Chris Small,SCO,u,10,Doug Mountjoy,WAL,10,7
1992,First Round,1R,19,James Wattana,THA,15,10,Tony Jones,ENG,u,5
1992,First Round,1R,19,Stephen Hendry,SCO,2,10,Stephen Murphy,IRL,u,3
1992,Last 16,L16,25,John Parrott,ENG,1,13,Tony Knowles,ENG,16,4
1992,Last 16,L16,25,Alan McManus,SCO,u,13,Mick Price,ENG,u,10
1992,Last 16,L16,25,Jim Wych,CAN,u,13,Willie Thorne,ENG,u,6
1992,Last 16,L16,25,Jimmy White,ENG,4,13,Alain Robidoux,CAN,13,11
1992,Last 16,L16,25,Peter Ebdon,ENG,u,13,Martin Clark,ENG,14,4
1992,Last 16,L16,25,Terry Griffiths,WAL,11,13,Neal Foulds,ENG,6,7
1992,Last 16,L16,25,Dene O'Kane,NZL,u,13,Chris Small,SCO,u,10
1992,Last 16,L16,25,Stephen Hendry,SCO,2,13,James Wattana,THA,15,10
1992,Quarter-Finals,QF,25,Alan McManus,SCO,u,13,John Parrott,ENG,1,12
1992,Quarter-Finals,QF,25,Jimmy White,ENG,4,13,Jim Wych,CAN,u,9
1992,Quarter-Finals,QF,25,Terry Griffiths,WAL,11,13,Peter Ebdon,ENG,u,7
1992,Quarter-Finals,QF,25,Stephen Hendry,SCO,2,13,Dene O'Kane,NZL,u,6
1992,Semi-Finals,SF,31,Jimmy White,ENG,4,16,Alan McManus,SCO,u,7
1992,Semi-Finals,SF,31,Stephen Hendry,SCO,2,16,Terry Griffiths,WAL,11,4
1992,The Final,FIN,35,Stephen Hendry,SCO,2,18,Jimmy White,ENG,4,14
1993,First Round,1R,19,Stephen Hendry,SCO,1,10,Danny Fowler,ENG,u,1
1993,First Round,1R,19,Darren Morgan,WAL,16,10,Les Dodd,ENG,u,5
1993,First Round,1R,19,Nigel Bond,ENG,9,10,Spencer Dunn,ENG,u,4
1993,First Round,1R,19,Gary Wilkinson,ENG,8,10,Dean Reynolds,ENG,u,4
1993,First Round,1R,19,Neal Foulds,ENG,5,10,Brian Morgan,ENG,u,5
1993,First Round,1R,19,Martin Clark,ENG,12,10,Karl Payne,ENG,u,6
1993,First Round,1R,19,Alan McManus,SCO,13,10,Ronnie O'Sullivan,ENG,u,7
1993,First Round,1R,19,Steve Davis,ENG,4,10,Peter Ebdon,ENG,u,3
1993,First Round,1R,19,Jimmy White,ENG,3,10,Joe Swail,NIR,u,4
1993,First Round,1R,19,Doug Mountjoy,WAL,u,10,Alain Robidoux,CAN,14,6
1993,First Round,1R,19,Dennis Taylor,NIR,11,10,Tony Drago,MLT,u,9
1993,First Round,1R,19,Terry Griffiths,WAL,6,10,David Roe,ENG,u,6
1993,First Round,1R,19,James Wattana,THA,7,10,Tony Jones,ENG,u,7
1993,First Round,1R,19,Steve James,ENG,10,10,John Giles,ENG,u,2
1993,First Round,1R,19,Willie Thorne,ENG,15,10,Shaun Mellish,ENG,u,6
1993,First Round,1R,19,John Parrott,ENG,2,10,Stephen O'Connor,IRL,u,1
1993,Last 16,L16,25,Stephen Hendry,SCO,1,13,Darren Morgan,WAL,16,4
1993,Last 16,L16,25,Nigel Bond,ENG,9,13,Gary Wilkinson,ENG,8,7
1993,Last 16,L16,25,Neal Foulds,ENG,5,13,Martin Clark,ENG,12,7
