record_type,record_number,year,position_in_draw,result,result_code,tournament_stage,player,country,participation,matches_played,matches_won,matches_lost,frames_played,frames_won,frames_lost,match_win_pct,frame_win_pct
tournament,81,1981,9,First Round,1R,1,John Virgo,ENG,4,1,0,1,16,6,10,0,37.5
tournament,82,1981,10,Last 16,L16,2,Alex Higgins,NIR,5,1,0,1,21,8,13,0,38.0952381
tournament,83,1981,11,Winner,W,6,Steve Davis,ENG,3,5,5,0,117,70,47,100,59.82905983
tournament,84,1981,12,First Round,1R,1,Jimmy White,ENG,1,1,0,1,18,8,10,0,44.44444444
tournament,85,1981,13,Last 16,L16,2,Eddie Charlton,AUS,5,1,0,1,20,7,13,0,35
tournament,86,1981,14,Runner-Up,TF,5,Doug Mountjoy,WAL,5,5,4,1,113,64,49,80,56.63716814
tournament,87,1981,15,First Round,1R,1,Willie Thorne,ENG,4,1,0,1,16,6,10,0,37.5
tournament,88,1981,16,Quarter-Finals,QF,3,Dennis Taylor,NIR,5,2,1,1,45,21,24,50,46.66666667
tournament,89,1981,17,Last 16,L16,2,Kirk Stevens,CAN,3,2,1,1,38,21,17,50,55.26315789
tournament,90,1981,18,First Round,1R,1,John Dunning,ENG,1,1,0,1,14,4,10,0,28.57142857
tournament,91,1981,19,Last 16,L16,2,Perrie Mans,RSA,5,1,0,1,18,5,13,0,27.77777778
tournament,92,1981,20,Quarter-Finals,QF,3,Bill Werbeniuk,CAN,4,3,2,1,55,33,22,66.66666667,60
tournament,93,1981,21,First Round,1R,1,Dave Martin,ENG,1,1,0,1,14,4,10,0,28.57142857
tournament,94,1981,22,Semi-Finals,SF,4,Ray Reardon,WAL,5,3,2,1,73,36,37,66.66666667,49.31506849
tournament,95,1981,23,Last 16,L16,2,John Spencer,ENG,5,2,1,1,43,21,22,50,48.8372093
tournament,96,1981,24,First Round,1R,1,Ray Edmonds,ENG,2,1,0,1,19,9,10,0,47.36842105
tournament,97,1982,1,First Round,1R,1,Steve Davis,ENG,4,1,0,1,11,1,10,0,9.090909091
tournament,98,1982,2,Quarter-Finals,QF,3,Tony Knowles,ENG,2,3,2,1,55,34,21,66.66666667,61.81818182
tournament,99,1982,3,Last 16,L16,2,Graham Miles,ENG,6,2,1,1,35,17,18,50,48.57142857
tournament,100,1982,4,First Round,1R,1,Dave Martin,ENG,2,1,0,1,15,5,10,0,33.33333333
tournament,101,1982,5,Last 16,L16,2,Bill Werbeniuk,CAN,5,2,1,1,35,15,20,50,42.85714286
tournament,102,1982,6,First Round,1R,1,John Bear,CAN,1,1,0,1,17,7,10,0,41.17647059
tournament,103,1982,7,Semi-Finals,SF,4,Eddie Charlton,AUS,6,4,3,1,84,47,37,75,55.95238095
tournament,104,1982,8,First Round,1R,1,Cliff Wilson,WAL,3,1,0,1,15,5,10,0,33.33333333
tournament,105,1982,9,First Round,1R,1,Dennis Taylor,NIR,6,1,0,1,17,7,10,0,41.17647059
tournament,106,1982,10,Quarter-Finals,QF,3,Silvino Francisco,RSA,1,3,2,1,59,31,28,66.66666667,52.54237288
tournament,107,1982,11,First Round,1R,1,Fred Davis,ENG,6,1,0,1,17,7,10,0,41.17647059
tournament,108,1982,12,Last 16,L16,2,Dean Reynolds,ENG,1,2,1,1,38,18,20,50,47.36842105
tournament,109,1982,13,Last 16,L16,2,John Virgo,ENG,5,2,1,1,35,18,17,50,51.42857143
tournament,110,1982,14,First Round,1R,1,Mike Hallett,ENG,1,1,0,1,14,4,10,0,28.57142857
tournament,111,1982,15,Runner-Up,TF,5,Ray Reardon,WAL,6,5,4,1,117,67,50,80,57.26495726
tournament,112,1982,16,First Round,1R,1,Jim Donnelly,SCO,1,1,0,1,15,5,10,0,33.33333333
tournament,113,1982,17,First Round,1R,1,Terry Griffiths,WAL,4,1,0,1,16,6,10,0,37.5
tournament,114,1982,18,Quarter-Finals,QF,3,Willie Thorne,ENG,5,3,2,1,57,33,24,66.66666667,57.89473684
tournament,115,1982,19,Last 16,L16,2,John Spencer,ENG,6,2,1,1,32,15,17,50,46.875
tournament,116,1982,20,First Round,1R,1,John Dunning,ENG,2,1,0,1,14,4,10,0,28.57142857
tournament,117,1982,21,Winner,W,6,Alex Higgins,NIR,6,5,5,0,127,70,57,100,55.11811024
tournament,118,1982,22,First Round,1R,1,Jim Meadowcroft,ENG,2,1,0,1,15,5,10,0,33.33333333
tournament,119,1982,23,Last 16,L16,2,Doug Mountjoy,WAL,6,2,1,1,38,22,16,50,57.89473684
tournament,120,1982,24,First Round,1R,1,Rex Williams,ENG,2,1,0,1,13,3,10,0,23.07692308
tournament,121,1982,25,First Round,1R,1,David Taylor,ENG,6,1,0,1,19,9,10,0,47.36842105
tournament,122,1982,26,Last 16,L16,2,Patsy Fagan,IRL,4,2,1,1,39,17,22,50,43.58974359
tournament,123,1982,27,Quarter-Finals,QF,3,Kirk Stevens,CAN,4,3,2,1,56,32,24,66.66666667,57.14285714
tournament,124,1982,28,First Round,1R,1,Jack Fitzmaurice,ENG,1,1,0,1,14,4,10,0,28.57142857
tournament,125,1982,29,Last 16,L16,2,Perrie Mans,RSA,6,2,1,1,37,16,21,50,43.24324324
tournament,126,1982,30,First Round,1R,1,Tony Meo,ENG,3,1,0,1,18,8,10,0,44.44444444
tournament,127,1982,31,First Round,1R,1,Cliff Thorburn,CAN,6,1,0,1,14,4,10,0,28.57142857
tournament,128,1982,32,Semi-Finals,SF,4,Jimmy White,ENG,2,4,3,1,86,51,35,75,59.30232558
tournament,129,1983,1,Semi-Finals,SF,4,Alex Higgins,NIR,7,4,3,1,80,41,39,75,51.25
tournament,130,1983,2,First Round,1R,1,Dean Reynolds,ENG,2,1,0,1,14,4,10,0,28.57142857
tournament,131,1983,3,Last 16,L16,2,Willie Thorne,ENG,6,2,1,1,34,18,16,50,52.94117647
tournament,132,1983,4,First Round,1R,1,John Virgo,ENG,6,1,0,1,13,3,10,0,23.07692308
