match_number,year,round,round_code,tournament_stage,best_of,frames_played,player_1,player_1_nat,player_1_seed,player_1_score,player_1_pct,player_1_result,player_2,player_2_nat,player_2_seed,player_2_score,player_2_pct,player_2_result,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score,margin,match_up
219,1986,First Round,1R,1,19,13,Joe Johnson,ENG,16,10,76.92307692,W,Dave Martin,ENG,u,3,23.07692308,L,Joe Johnson,ENG,16,10,Dave Martin,ENG,u,3,7,Dave Martin v Joe Johnson
220,1986,First Round,1R,1,19,17,Alex Higgins,NIR,9,10,58.82352941,W,John Spencer,ENG,u,7,41.17647059,L,Alex Higgins,NIR,9,10,John Spencer,ENG,u,7,3,Alex Higgins v John Spencer
220,1986,First Round,1R,1,19,17,John Spencer,ENG,u,7,41.17647059,L,Alex Higgins,NIR,9,10,58.82352941,W,Alex Higgins,NIR,9,10,John Spencer,ENG,u,7,3,Alex Higgins v John Spencer
221,1986,First Round,1R,1,19,12,Danny Fowler,ENG,u,2,16.66666667,L,Terry Griffiths,WAL,8,10,83.33333333,W,Terry Griffiths,WAL,8,10,Danny Fowler,ENG,u,2,8,Danny Fowler v Terry Griffiths
221,1986,First Round,1R,1,19,12,Terry Griffiths,WAL,8,10,83.33333333,W,Danny Fowler,ENG,u,2,16.66666667,L,Terry Griffiths,WAL,8,10,Danny Fowler,ENG,u,2,8,Danny Fowler v Terry Griffiths
222,1986,First Round,1R,1,19,16,Dean Reynolds,ENG,u,6,37.5,L,Kirk Stevens,CAN,5,10,62.5,W,Kirk Stevens,CAN,5,10,Dean Reynolds,ENG,u,6,4,Dean Reynolds v Kirk Stevens
222,1986,First Round,1R,1,19,16,Kirk Stevens,CAN,5,10,62.5,W,Dean Reynolds,ENG,u,6,37.5,L,Kirk Stevens,CAN,5,10,Dean Reynolds,ENG,u,6,4,Dean Reynolds v Kirk Stevens
223,1986,First Round,1R,1,19,16,Cliff Wilson,WAL,u,6,37.5,L,Eddie Charlton,AUS,12,10,62.5,W,Eddie Charlton,AUS,12,10,Cliff Wilson,WAL,u,6,4,Cliff Wilson v Eddie Charlton
223,1986,First Round,1R,1,19,16,Eddie Charlton,AUS,12,10,62.5,W,Cliff Wilson,WAL,u,6,37.5,L,Eddie Charlton,AUS,12,10,Cliff Wilson,WAL,u,6,4,Cliff Wilson v Eddie Charlton
224,1986,First Round,1R,1,19,14,Rex Williams,ENG,u,4,28.57142857,L,Silvino Francisco,RSA,13,10,71.42857143,W,Silvino Francisco,RSA,13,10,Rex Williams,ENG,u,4,6,Rex Williams v Silvino Francisco
224,1986,First Round,1R,1,19,14,Silvino Francisco,RSA,13,10,71.42857143,W,Rex Williams,ENG,u,4,28.57142857,L,Silvino Francisco,RSA,13,10,Rex Williams,ENG,u,4,6,Rex Williams v Silvino Francisco
225,1986,First Round,1R,1,19,19,Neal Foulds,ENG,u,9,47.36842105,L,Tony Knowles,ENG,4,10,52.63157895,W,Tony Knowles,ENG,4,10,Neal Foulds,ENG,u,9,1,Neal Foulds v Tony Knowles
225,1986,First Round,1R,1,19,19,Tony Knowles,ENG,4,10,52.63157895,W,Neal Foulds,ENG,u,9,47.36842105,L,Tony Knowles,ENG,4,10,Neal Foulds,ENG,u,9,1,Neal Foulds v Tony Knowles
226,1986,First Round,1R,1,19,15,Bill Werbeniuk,CAN,u,5,33.33333333,L,Cliff Thorburn,CAN,3,10,66.66666667,W,Cliff Thorburn,CAN,3,10,Bill Werbeniuk,CAN,u,5,5,Bill Werbeniuk v Cliff Thorburn
226,1986,First Round,1R,1,19,15,Cliff Thorburn,CAN,3,10,66.66666667,W,Bill Werbeniuk,CAN,u,5,33.33333333,L,Cliff Thorburn,CAN,3,10,Bill Werbeniuk,CAN,u,5,5,Bill Werbeniuk v Cliff Thorburn
227,1986,First Round,1R,1,19,17,David Taylor,ENG,14,7,41.17647059,L,Eugene Hughes,IRL,u,10,58.82352941,W,Eugene Hughes,IRL,u,10,David Taylor,ENG,14,7,3,David Taylor v Eugene Hughes
227,1986,First Round,1R,1,19,17,Eugene Hughes,IRL,u,10,58.82352941,W,David Taylor,ENG,14,7,41.17647059,L,Eugene Hughes,IRL,u,10,David Taylor,ENG,14,7,3,David Taylor v Eugene Hughes
228,1986,First Round,1R,1,19,18,Stephen Hendry,SCO,u,8,44.44444444,L,Willie Thorne,ENG,11,10,55.55555556,W,Willie Thorne,ENG,11,10,Stephen Hendry,SCO,u,8,2,Stephen Hendry v Willie Thorne
228,1986,First Round,1R,1,19,18,Willie Thorne,ENG,11,10,55.55555556,W,Stephen Hendry,SCO,u,8,44.44444444,L,Willie Thorne,ENG,11,10,Stephen Hendry,SCO,u,8,2,Stephen Hendry v Willie Thorne
229,1986,First Round,1R,1,19,18,John Campbell,AUS,u,10,55.55555556,W,Ray Reardon,WAL,6,8,44.44444444,L,John Campbell,AUS,u,10,Ray Reardon,WAL,6,8,2,John Campbell v Ray Reardon
229,1986,First Round,1R,1,19,18,Ray Reardon,WAL,6,8,44.44444444,L,John Campbell,AUS,u,10,55.55555556,W,John Campbell,AUS,u,10,Ray Reardon,WAL,6,8,2,John Campbell v Ray Reardon
230,1986,First Round,1R,1,19,17,Jimmy White,ENG,7,10,58.82352941,W,John Virgo,ENG,u,7,41.17647059,L,Jimmy White,ENG,7,10,John Virgo,ENG,u,7,3,Jimmy White v John Virgo
230,1986,First Round,1R,1,19,17,John Virgo,ENG,u,7,41.17647059,L,Jimmy White,ENG,7,10,58.82352941,W,Jimmy White,ENG,7,10,John Virgo,ENG,u,7,3,Jimmy White v John Virgo
231,1986,First Round,1R,1,19,14,John Parrott,ENG,u,10,71.42857143,W,Tony Meo,ENG,10,4,28.57142857,L,John Parrott,ENG,u,10,Tony Meo,ENG,10,4,6,John Parrott v Tony Meo
231,1986,First Round,1R,1,19,14,Tony Meo,ENG,10,4,28.57142857,L,John Parrott,ENG,u,10,71.42857143,W,John Parrott,ENG,u,10,Tony Meo,ENG,10,4,6,John Parrott v Tony Meo
232,1986,First Round,1R,1,19,13,Doug Mountjoy,WAL,15,10,76.92307692,W,Perrie Mans,RSA,u,3,23.07692308,L,Doug Mountjoy,WAL,15,10,Perrie Mans,RSA,u,3,7,Doug Mountjoy v Perrie Mans
232,1986,First Round,1R,1,19,13,Perrie Mans,RSA,u,3,23.07692308,L,Doug Mountjoy,WAL,15,10,76.92307692,W,Doug Mountjoy,WAL,15,10,Perrie Mans,RSA,u,3,7,Doug Mountjoy v Perrie Mans
233,1986,First Round,1R,1,19,14,Ray Edmonds,ENG,u,4,28.57142857,L,Steve Davis,ENG,2,10,71.42857143,W,Steve Davis,ENG,2,10,Ray Edmonds,ENG,u,4,6,Ray Edmonds v Steve Davis
233,1986,First Round,1R,1,19,14,Steve Davis,ENG,2,10,71.42857143,W,Ray Edmonds,ENG,u,4,28.57142857,L,Steve Davis,ENG,2,10,Ray Edmonds,ENG,u,4,6,Ray Edmonds v Steve Davis
234,1986,Last 16,L16,2,25,19,Joe Johnson,ENG,16,13,68.42105263,W,Mike Hallett,ENG,u,6,31.57894737,L,Joe Johnson,ENG,16,13,Mike Hallett,ENG,u,6,7,Joe Johnson v Mike Hallett
234,1986,Last 16,L16,2,25,19,Mike Hallett,ENG,u,6,31.57894737,L,Joe Johnson,ENG,16,13,68.42105263,W,Joe Johnson,ENG,16,13,Mike Hallett,ENG,u,6,7,Joe Johnson v Mike Hallett
235,1986,Last 16,L16,2,25,25,Alex Higgins,NIR,9,12,48,L,Terry Griffiths,WAL,8,13,52,W,Terry Griffiths,WAL,8,13,Alex Higgins,NIR,9,12,1,Alex Higgins v Terry Griffiths
235,1986,Last 16,L16,2,25,25,Terry Griffiths,WAL,8,13,52,W,Alex Higgins,NIR,9,12,48,L,Terry Griffiths,WAL,8,13,Alex Higgins,NIR,9,12,1,Alex Higgins v Terry Griffiths
236,1986,Last 16,L16,2,25,25,Eddie Charlton,AUS,12,12,48,L,Kirk Stevens,CAN,5,13,52,W,Kirk Stevens,CAN,5,13,Eddie Charlton,AUS,12,12,1,Eddie Charlton v Kirk Stevens
236,1986,Last 16,L16,2,25,25,Kirk Stevens,CAN,5,13,52,W,Eddie Charlton,AUS,12,12,48,L,Kirk Stevens,CAN,5,13,Eddie Charlton,AUS,12,12,1,Eddie Charlton v Kirk Stevens
237,1986,Last 16,L16,2,25,23,Silvino Francisco,RSA,13,10,43.47826087,L,Tony Knowles,ENG,4,13,56.52173913,W,Tony Knowles,ENG,4,13,Silvino Francisco,RSA,13,10,3,Silvino Francisco v Tony Knowles
237,1986,Last 16,L16,2,25,23,Tony Knowles,ENG,4,13,56.52173913,W,Silvino Francisco,RSA,13,10,43.47826087,L,Tony Knowles,ENG,4,13,Silvino Francisco,RSA,13,10,3,Silvino Francisco v Tony Knowles
238,1986,Last 16,L16,2,25,19,Cliff Thorburn,CAN,3,13,68.42105263,W,Eugene Hughes,IRL,u,6,31.57894737,L,Cliff Thorburn,CAN,3,13,Eugene Hughes,IRL,u,6,7,Cliff Thorburn v Eugene Hughes
238,1986,Last 16,L16,2,25,19,Eugene Hughes,IRL,u,6,31.57894737,L,Cliff Thorburn,CAN,3,13,68.42105263,W,Cliff Thorburn,CAN,3,13,Eugene Hughes,IRL,u,6,7,Cliff Thorburn v Eugene Hughes
239,1986,Last 16,L16,2,25,22,John Campbell,AUS,u,9,40.90909091,L,Willie Thorne,ENG,11,13,59.09090909,W,Willie Thorne,ENG,11,13,John Campbell,AUS,u,9,4,John Campbell v Willie Thorne
239,1986,Last 16,L16,2,25,22,Willie Thorne,ENG,11,13,59.09090909,W,John Campbell,AUS,u,9,40.90909091,L,Willie Thorne,ENG,11,13,John Campbell,AUS,u,9,4,John Campbell v Willie Thorne
240,1986,Last 16,L16,2,25,21,Jimmy White,ENG,7,13,61.9047619,W,John Parrott,ENG,u,8,38.0952381,L,Jimmy White,ENG,7,13,John Parrott,ENG,u,8,5,Jimmy White v John Parrott
240,1986,Last 16,L16,2,25,21,John Parrott,ENG,u,8,38.0952381,L,Jimmy White,ENG,7,13,61.9047619,W,Jimmy White,ENG,7,13,John Parrott,ENG,u,8,5,Jimmy White v John Parrott
241,1986,Last 16,L16,2,25,18,Doug Mountjoy,WAL,15,5,27.77777778,L,Steve Davis,ENG,2,13,72.22222222,W,Steve Davis,ENG,2,13,Doug Mountjoy,WAL,15,5,8,Doug Mountjoy v Steve Davis
241,1986,Last 16,L16,2,25,18,Steve Davis,ENG,2,13,72.22222222,W,Doug Mountjoy,WAL,15,5,27.77777778,L,Steve Davis,ENG,2,13,Doug Mountjoy,WAL,15,5,8,Doug Mountjoy v Steve Davis
242,1986,Quarter-Finals,QF,3,25,25,Joe Johnson,ENG,16,13,52,W,Terry Griffiths,WAL,8,12,48,L,Joe Johnson,ENG,16,13,Terry Griffiths,WAL,8,12,1,Joe Johnson v Terry Griffiths
242,1986,Quarter-Finals,QF,3,25,25,Terry Griffiths,WAL,8,12,48,L,Joe Johnson,ENG,16,13,52,W,Joe Johnson,ENG,16,13,Terry Griffiths,WAL,8,12,1,Joe Johnson v Terry Griffiths
243,1986,Quarter-Finals,QF,3,25,22,Kirk Stevens,CAN,5,9,40.90909091,L,Tony Knowles,ENG,4,13,59.09090909,W,Tony Knowles,ENG,4,13,Kirk Stevens,CAN,5,9,4,Kirk Stevens v Tony Knowles
243,1986,Quarter-Finals,QF,3,25,22,Tony Knowles,ENG,4,13,59.09090909,W,Kirk Stevens,CAN,5,9,40.90909091,L,Tony Knowles,ENG,4,13,Kirk Stevens,CAN,5,9,4,Kirk Stevens v Tony Knowles
244,1986,Quarter-Finals,QF,3,25,19,Cliff Thorburn,CAN,3,13,68.42105263,W,Willie Thorne,ENG,11,6,31.57894737,L,Cliff Thorburn,CAN,3,13,Willie Thorne,ENG,11,6,7,Cliff Thorburn v Willie Thorne
244,1986,Quarter-Finals,QF,3,25,19,Willie Thorne,ENG,11,6,31.57894737,L,Cliff Thorburn,CAN,3,13,68.42105263,W,Cliff Thorburn,CAN,3,13,Willie Thorne,ENG,11,6,7,Cliff Thorburn v Willie Thorne
245,1986,Quarter-Finals,QF,3,25,18,Jimmy White,ENG,7,5,27.77777778,L,Steve Davis,ENG,2,13,72.22222222,W,Steve Davis,ENG,2,13,Jimmy White,ENG,7,5,8,Jimmy White v Steve Davis
245,1986,Quarter-Finals,QF,3,25,18,Steve Davis,ENG,2,13,72.22222222,W,Jimmy White,ENG,7,5,27.77777778,L,Steve Davis,ENG,2,13,Jimmy White,ENG,7,5,8,Jimmy White v Steve Davis
246,1986,Semi-Finals,SF,4,31,24,Joe Johnson,ENG,16,16,66.66666667,W,Tony Knowles,ENG,4,8,33.33333333,L,Joe Johnson,ENG,16,16,Tony Knowles,ENG,4,8,8,Joe Johnson v Tony Knowles
246,1986,Semi-Finals,SF,4,31,24,Tony Knowles,ENG,4,8,33.33333333,L,Joe Johnson,ENG,16,16,66.66666667,W,Joe Johnson,ENG,16,16,Tony Knowles,ENG,4,8,8,Joe Johnson v Tony Knowles
247,1986,Semi-Finals,SF,4,31,28,Cliff Thorburn,CAN,3,12,42.85714286,L,Steve Davis,ENG,2,16,57.14285714,W,Steve Davis,ENG,2,16,Cliff Thorburn,CAN,3,12,4,Cliff Thorburn v Steve Davis
247,1986,Semi-Finals,SF,4,31,28,Steve Davis,ENG,2,16,57.14285714,W,Cliff Thorburn,CAN,3,12,42.85714286,L,Steve Davis,ENG,2,16,Cliff Thorburn,CAN,3,12,4,Cliff Thorburn v Steve Davis
248,1986,The Final,FIN,5,35,30,Joe Johnson,ENG,16,18,60,W,Steve Davis,ENG,2,12,40,L,Joe Johnson,ENG,16,18,Steve Davis,ENG,2,12,6,Joe Johnson v Steve Davis
248,1986,The Final,FIN,5,35,30,Steve Davis,ENG,2,12,40,L,Joe Johnson,ENG,16,18,60,W,Joe Johnson,ENG,16,18,Steve Davis,ENG,2,12,6,Joe Johnson v Steve Davis
249,1987,First Round,1R,1,19,19,Eugene Hughes,IRL,u,9,47.36842105,L,Joe Johnson,ENG,1,10,52.63157895,W,Joe Johnson,ENG,1,10,Eugene Hughes,IRL,u,9,1,Eugene Hughes v Joe Johnson
249,1987,First Round,1R,1,19,19,Joe Johnson,ENG,1,10,52.63157895,W,Eugene Hughes,IRL,u,9,47.36842105,L,Joe Johnson,ENG,1,10,Eugene Hughes,IRL,u,9,1,Eugene Hughes v Joe Johnson
250,1987,First Round,1R,1,19,15,Murdo McLeod,SCO,u,10,66.66666667,W,Rex Williams,ENG,16,5,33.33333333,L,Murdo McLeod,SCO,u,10,Rex Williams,ENG,16,5,5,Murdo McLeod v Rex Williams
