match_number,year,round,round_code,tournament_stage,best_of,frames_played,player_1,player_1_nat,player_1_seed,player_1_score,player_1_pct,player_1_result,player_2,player_2_nat,player_2_seed,player_2_score,player_2_pct,player_2_result,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score,margin,match_up
250,1987,First Round,1R,1,19,15,Rex Williams,ENG,16,5,33.33333333,L,Murdo McLeod,SCO,u,10,66.66666667,W,Murdo McLeod,SCO,u,10,Rex Williams,ENG,16,5,5,Murdo McLeod v Rex Williams
251,1987,First Round,1R,1,19,14,Kirk Stevens,CAN,9,4,28.57142857,L,Steve Longworth,ENG,u,10,71.42857143,W,Steve Longworth,ENG,u,10,Kirk Stevens,CAN,9,4,6,Kirk Stevens v Steve Longworth
251,1987,First Round,1R,1,19,14,Steve Longworth,ENG,u,10,71.42857143,W,Kirk Stevens,CAN,9,4,28.57142857,L,Steve Longworth,ENG,u,10,Kirk Stevens,CAN,9,4,6,Kirk Stevens v Steve Longworth
252,1987,First Round,1R,1,19,17,Stephen Hendry,SCO,u,10,58.82352941,W,Willie Thorne,ENG,8,7,41.17647059,L,Stephen Hendry,SCO,u,10,Willie Thorne,ENG,8,7,3,Stephen Hendry v Willie Thorne
252,1987,First Round,1R,1,19,17,Willie Thorne,ENG,8,7,41.17647059,L,Stephen Hendry,SCO,u,10,58.82352941,W,Stephen Hendry,SCO,u,10,Willie Thorne,ENG,8,7,3,Stephen Hendry v Willie Thorne
253,1987,First Round,1R,1,19,16,Mike Hallett,ENG,u,10,62.5,W,Tony Knowles,ENG,5,6,37.5,L,Mike Hallett,ENG,u,10,Tony Knowles,ENG,5,6,4,Mike Hallett v Tony Knowles
253,1987,First Round,1R,1,19,16,Tony Knowles,ENG,5,6,37.5,L,Mike Hallett,ENG,u,10,62.5,W,Mike Hallett,ENG,u,10,Tony Knowles,ENG,5,6,4,Mike Hallett v Tony Knowles
254,1987,First Round,1R,1,19,13,John Campbell,AUS,u,3,23.07692308,L,Silvino Francisco,RSA,12,10,76.92307692,W,Silvino Francisco,RSA,12,10,John Campbell,AUS,u,3,7,John Campbell v Silvino Francisco
254,1987,First Round,1R,1,19,13,Silvino Francisco,RSA,12,10,76.92307692,W,John Campbell,AUS,u,3,23.07692308,L,Silvino Francisco,RSA,12,10,John Campbell,AUS,u,3,7,John Campbell v Silvino Francisco
255,1987,First Round,1R,1,19,14,John Virgo,ENG,u,4,28.57142857,L,Neal Foulds,ENG,13,10,71.42857143,W,Neal Foulds,ENG,13,10,John Virgo,ENG,u,4,6,John Virgo v Neal Foulds
